csv_data = ""


state,p_growing,category,color,date,state_abb,ISO_3166_2,pathogen,median,lower,upper,interval_width,is_plotted_date,additional_text,p_growing_probability,geography,percent_visits,threshold_classification,ed_trends
United States,0.9517,Growing,#6d085a,2025-07-15,US,US-US,COVID-19,1.05,0.98,1.11,0.95,true,Click on a state to see more information.,95.17,United States,0.51,Very Low,Increasing
Alabama,0.5525,Not Changing,#bdbdbd,2025-07-15,AL,US-AL,COVID-19,1.01,0.80,1.17,0.95,true,,55.25,Alabama,0.55,Very Low,Increasing
Alaska,0.7568,Likely Growing,#b83d93,2025-07-15,AK,US-AK,COVID-19,1.03,0.87,1.20,0.95,true,,75.68,Alaska,0.58,Very Low,No Change
Arizona,0.6860,Not Changing,#bdbdbd,2025-07-15,AZ,US-AZ,COVID-19,1.02,0.89,1.15,0.95,true,,68.60,Arizona,0.52,Very Low,Increasing
Arkansas,0.9480,Growing,#6d085a,2025-07-15,AR,US-AR,COVID-19,1.15,0.97,1.47,0.95,true,,94.80,Arkansas,0.24,Very Low,No Change
California,0.8858,Likely Growing,#b83d93,2025-07-15,CA,US-CA,COVID-19,1.07,0.93,1.17,0.95,true,,88.58,California,0.73,Low,Increasing
Colorado,0.7495,Not Changing,#bdbdbd,2025-07-15,CO,US-CO,COVID-19,1.03,0.89,1.18,0.95,true,,74.95,Colorado,0.35,Very Low,No Change
Connecticut,0.6088,Not Changing,#bdbdbd,2025-07-15,CT,US-CT,COVID-19,1.02,0.80,1.19,0.95,true,,60.88,Connecticut,0.38,Very Low,No Change
Delaware,0.8488,Likely Growing,#b83d93,2025-07-15,DE,US-DE,COVID-19,1.07,0.92,1.32,0.95,true,,84.88,Delaware,0.19,Very Low,No Change
District of Columbia,0.8652,Likely Growing,#b83d93,2025-07-15,DC,US-DC,COVID-19,1.13,0.89,1.43,0.95,true,,86.52,District of Columbia,0.37,Very Low,No Change
Florida,0.6677,Not Changing,#bdbdbd,2025-07-15,FL,US-FL,COVID-19,1.02,0.86,1.07,0.95,true,,66.77,Florida,1.55,Low,Increasing
Georgia,0.8902,Likely Growing,#b83d93,2025-07-15,GA,US-GA,COVID-19,1.07,0.94,1.19,0.95,true,,89.02,Georgia,0.36,Very Low,Increasing
Hawaii,0.9795,Growing,#6d085a,2025-07-15,HI,US-HI,COVID-19,1.21,1.01,1.42,0.95,true,,97.95,Hawaii,1.99,Low,Increasing
Idaho,0.6000,Not Changing,#bdbdbd,2025-07-15,ID,US-ID,COVID-19,1.01,0.87,1.15,0.95,true,,60.00,Idaho,0.39,Very Low,No Change
Illinois,0.9647,Growing,#6d085a,2025-07-15,IL,US-IL,COVID-19,1.10,0.99,1.27,0.95,true,,96.47,Illinois,0.21,Very Low,No Change
Indiana,0.8750,Likely Growing,#b83d93,2025-07-15,IN,US-IN,COVID-19,1.06,0.94,1.23,0.95,true,,87.50,Indiana,0.17,Very Low,No Change
Iowa,0.9495,Growing,#6d085a,2025-07-15,IA,US-IA,COVID-19,1.18,0.96,1.45,0.95,true,,94.95,Iowa,0.22,Very Low,No Change
